"","X","AlertCategory","NetworkEventType","NetworkInteractionType","DataTransferVolume_IN","DataTransferVolume_OUT","TransactionsPerSession","NetworkAccessFrequency","UserActivityLevel","SessionIntegrityCheck","ResourceUtilizationFlag","SecurityRiskLevel","ResponseTime","Classification"
"268547",279701,"Warning","PolicyViolation","Anomalous",121943640,121595138,28007,36351,6,TRUE,FALSE,103576387,24.88768,"Normal"
"212003",220815,"Warning","NormalOperation","Anomalous",128582847,134250628,28570,26343,4,FALSE,TRUE,191424649,29.52053,"Normal"
"305625",318302,"Warning","PolicyViolation","Suspicious",156432453,110021932,28104,38357,5,TRUE,FALSE,193218427,30.67188,"Normal"
"223909",233218,"Warning","Policy_Violation","Anomalous",132978214,109267972,25873,28869,6,FALSE,FALSE,177868545,NA,"Normal"
"181128",188662,"Warning","PolicyViolation","Anomalous",135720754,133847811,29105,30143,5,FALSE,FALSE,165210439,28.3191,"Normal"
"449215",467950,"Warning","PolicyViolation","Anomalous",132871769,141448176,31836,26045,6,TRUE,FALSE,157423016,30.97443,"Normal"
"345958",360434,"Warning","PolicyViolation","Critical",123460645,100732512,21951,46760,5,TRUE,FALSE,78658069,22.3799,"Normal"
"138818",144519,"Warning","PolicyViolation","Anomalous",127112680,138106913,29757,36369,5,TRUE,FALSE,172839083,32.88221,"Normal"
"111576",116133,"Warning","Policy_Violation","Anomalous",121931419,90877025,22814,36119,5,FALSE,FALSE,146615004,30.67178,"Normal"
"148778",154916,"Alert","Policy_Violation","Suspicious",126779347,164113596,37375,23986,6,TRUE,FALSE,82709631,35.20016,"Normal"
"331367",345168,"Warning","PolicyViolation","Anomalous",140622573,97303650,23061,NA,5,FALSE,FALSE,171259035,26.39428,"Normal"
"520317",542001,"Warning","NormalOperation","Suspicious",126812147,158283897,35439,34677,5,TRUE,FALSE,139356193,31.01255,"Normal"
"303418",315996,"Warning","Policy_Violation","Anomalous",161538274,98839138,26217,30239,5,FALSE,FALSE,180208875,NA,"Normal"
"427406",445249,"Warning","PolicyViolation","Suspicious",131246856,170494695,37070,31614,5,TRUE,FALSE,164387986,28.13347,"Normal"
"348687",363302,"Warning","Policy_Violation","Elevated",126174592,208847977,45838,32485,6,TRUE,FALSE,182001474,25.68382,"Normal"
"162842",169577,"Warning","NormalOperation","Anomalous",132977304,124032574,28476,24423,5,TRUE,FALSE,156967114,28.2803,"Normal"
"7671",7985,"Warning","Policy_Violation","Suspicious",128067827,165933478,36601,29487,5,TRUE,FALSE,166884540,24.49037,"Normal"
"159845",166442,"Warning","Policy_Violation","Anomalous",138436192,141862140,32367,34976,6,FALSE,FALSE,171741973,25.96341,"Normal"
"312208",325168,"Warning","Policy_Violation","Anomalous",128088682,133918633,31183,38652,6,TRUE,FALSE,188713247,NA,"Normal"
"539334",561784,"Informational","Policy_Violation","Anomalous",123481319,135604249,29467,32512,5,TRUE,FALSE,111474108,34.3038,"Normal"
"105088",109355,"Warning","PolicyViolation","Anomalous",128542072,141161104,31740,31489,6,TRUE,FALSE,202513890,35.60667,"Normal"
"499018",519822,"Warning","NormalOperation","Anomalous",128219696,106015329,23637,22731,4,TRUE,FALSE,136826132,35.21623,"Normal"
"150110",156312,"Alert","NormalOperation","Suspicious",141297934,189656914,41968,24213,5,FALSE,FALSE,158199444,30.81967,"Normal"
"397069",413632,"Warning","Policy_Violation","Suspicious",125409972,149972197,33833,33037,6,TRUE,FALSE,190856936,27.72907,"Normal"
"122514",127525,"Warning","PolicyViolation","Suspicious",117827028,158907027,32839,38249,4,TRUE,TRUE,150257385,22.58272,"Normal"
"459510",478642,"Warning","PolicyViolation","Anomalous",131462161,136955976,32105,52421,6,TRUE,FALSE,105550750,30.92845,"Normal"
"139596",145326,"Warning","PolicyViolation","Anomalous",134043048,130833985,28726,40222,5,FALSE,FALSE,168917466,23.35913,"Normal"
"507827",529009,"Warning","ThreatDetected","Suspicious",127047076,170866948,39253,43038,7,FALSE,FALSE,160382734,33.8523,"Normal"
"387896",404081,"Alert","Policy_Violation","Suspicious",130139657,174146379,38895,33175,6,TRUE,FALSE,117671284,30.35651,"Normal"
"311345",324271,"Warning","Policy_Violation","Critical",122339477,79045634,17260,20673,4,TRUE,FALSE,128834227,24.80069,"Normal"
"366444",381771,"Warning","PolicyViolation","Anomalous",126530845,125912705,28573,29204,6,TRUE,FALSE,107008114,30.87423,"Normal"
"1804",1876,"Alert","PolicyViolation","Suspicious",133466006,194610136,43304,43688,6,TRUE,FALSE,98214958,32.80232,"Normal"
"257803",268516,"Warning","PolicyViolation","Suspicious",131313883,199187784,44118,29525,7,TRUE,FALSE,129605895,18.98319,"Normal"
"265974",277031,"Warning","PolicyViolation","Suspicious",136268161,169300227,39380,39203,6,TRUE,FALSE,215827635,30.61119,"Normal"
"140482",146238,"Warning","NormalOperation","Suspicious",174869243,88616155,30874,36406,7,TRUE,FALSE,80365620,25.45522,"Normal"
"193298",201364,"Warning","PolicyViolation","Elevated",136049818,189737913,43836,37484,7,TRUE,FALSE,133026461,37.65039,"Normal"
"245515",255709,"Warning","PolicyViolation","Critical",124905044,90962136,19940,27553,4,TRUE,FALSE,180663357,34.62096,"Normal"
"542432",565012,"Warning","PolicyViolation","Suspicious",143801458,189171013,43502,34955,7,FALSE,FALSE,135971174,28.72682,"Normal"
"217415",226479,"Warning","NormalOperation","Anomalous",129199443,137580613,30117,33579,5,FALSE,FALSE,182830106,26.04307,"Normal"
"324612",338125,"Warning","PolicyViolation","Suspicious",135414665,139907124,31232,NA,5,TRUE,FALSE,142081300,27.80245,"Normal"
"132650",138081,"Warning","PolicyViolation","Suspicious",131342400,150700564,33451,41614,5,FALSE,FALSE,187163290,27.11359,"Normal"
"490241",510659,"Warning","Policy_Violation","Critical",141272673,110650354,25383,30809,5,FALSE,FALSE,134551492,27.40346,"Normal"
"188826",196683,"Warning","NormalOperation","Suspicious",137376312,185585295,43078,35570,7,FALSE,FALSE,165006243,41.18971,"Normal"
"19120",19898,"Warning","PolicyViolation","Anomalous",137810608,134358079,31757,25095,6,TRUE,FALSE,130735919,20.60628,"Normal"
"115178",119898,"Warning","NormalOperation","Suspicious",130334700,182350286,38734,NA,5,FALSE,TRUE,162391602,30.16444,"Normal"
"252976",263501,"Warning","Policy_Violation","Anomalous",132212599,133636523,30587,49023,5,FALSE,FALSE,203246609,22.98601,"Normal"
"511239",532560,"Warning","Policy_Violation","Suspicious",126261570,150652977,32223,29319,4,TRUE,TRUE,212751877,34.19699,"Normal"
"74811",77864,"Warning","PolicyViolation","Suspicious",129943709,172574264,38008,27313,5,TRUE,FALSE,129398854,NA,"Normal"
"296209",308513,"Warning","Policy_Violation","Suspicious",127848312,160460046,36190,34398,6,FALSE,FALSE,160778694,26.716,"Normal"
"469487",489017,"Warning","Policy_Violation","Anomalous",129231999,139755034,31260,22641,6,FALSE,FALSE,160285093,34.11332,"Normal"
"222174",231426,"Warning","Policy_Violation","Anomalous",134514041,116524803,28275,30031,7,FALSE,FALSE,174467386,38.27381,"Normal"
"43695",45492,"Warning","ThreatDetected","Anomalous",132793063,149946643,31825,17727,4,TRUE,FALSE,126309270,32.76588,"Normal"
"93057",96848,"Warning","NormalOperation","Anomalous",121109972,141579134,29128,35744,4,TRUE,TRUE,209319139,16.42039,"Normal"
"40906",42592,"Warning","PolicyViolation","Anomalous",128846744,118437000,26698,23920,5,FALSE,FALSE,122659286,26.99081,"Normal"
"443786",462286,"Warning","PolicyViolation","Anomalous",136268032,140052565,31788,38103,5,FALSE,FALSE,193868110,21.63216,"Normal"
"12803",13321,"Warning","NormalOperation","Suspicious",124896635,161135880,35231,30488,5,TRUE,FALSE,148222178,32.70523,"Normal"
"202767",211233,"Warning","PolicyViolation","Suspicious",141653281,176092252,41101,28937,6,FALSE,FALSE,174744532,23.76438,"Normal"
"317959",331168,"Warning","Policy_Violation","Suspicious",132685176,161702940,36392,36612,6,TRUE,FALSE,114809138,18.62901,"Normal"
"347701",362266,"Warning","PolicyViolation","Anomalous",130467577,149097401,33606,29530,6,TRUE,FALSE,119487244,28.19746,"Normal"
"534135",556375,"Warning","PolicyViolation","Anomalous",128587600,128578444,30105,NA,6,TRUE,FALSE,108242582,32.92496,"Normal"
"333627",347529,"Warning","PolicyViolation","Anomalous",129551895,127333586,29055,46663,5,FALSE,FALSE,193622527,29.28239,"Normal"
"323578",337047,"Warning","Policy_Violation","Anomalous",129980189,140468535,29863,25520,4,FALSE,FALSE,143627249,27.86384,"Normal"
"345241",359686,"Warning","PolicyViolation","Anomalous",128420903,129587062,28352,40490,5,TRUE,FALSE,158944220,40.30888,"Normal"
"237192",247056,"Warning","PolicyViolation","Anomalous",132403264,122043436,29432,30256,6,FALSE,FALSE,185679155,36.20139,"Normal"
"495055",515688,"Warning","Policy_Violation","Suspicious",128350635,191111309,41578,41505,6,TRUE,FALSE,106166917,20.0036,"Normal"
"247636",257929,"Warning","PolicyViolation","Suspicious",137106818,142652348,31310,36330,4,FALSE,TRUE,125462829,28.1787,"Normal"
"118050",122880,"Warning","PolicyViolation","Anomalous",121865353,119371761,27536,26603,5,TRUE,FALSE,153689261,34.7672,"Normal"
"215484",224460,"Informational","PolicyViolation","Suspicious",128167235,161640575,35187,22487,5,TRUE,FALSE,150671563,24.13055,"Normal"
"141792",147612,"Informational","PolicyViolation","Anomalous",127986565,130275976,28891,30295,4,TRUE,TRUE,158373746,28.64984,"Normal"
"58675",61076,"Warning","PolicyViolation","Suspicious",136794486,183209013,41739,20660,7,TRUE,FALSE,154002565,21.15586,"Normal"
"405282",422174,"Warning","PolicyViolation","Suspicious",145115993,175211981,41370,26077,8,TRUE,FALSE,128627704,29.6233,"Normal"
"60016",62479,"Warning","Policy_Violation","Suspicious",136998250,153911996,34736,31762,6,TRUE,FALSE,112570504,26.18377,"Normal"
"140062",145803,"Warning","PolicyViolation","Suspicious",131999513,158904610,35394,22713,5,TRUE,FALSE,139081487,NA,"Normal"
"64671",67313,"Warning","PolicyViolation","Suspicious",107923212,121433571,30955,42470,7,FALSE,FALSE,140866392,27.43603,"Normal"
"271113",282374,"Warning","Policy_Violation","Anomalous",127537731,134166833,28453,38930,4,FALSE,TRUE,137034165,27.78094,"Normal"
"86572",90117,"Warning","Policy_Violation","Elevated",134631135,208267232,45660,21314,6,TRUE,FALSE,108432413,31.38485,"Normal"
"532656",554833,"Informational","Policy_Violation","Anomalous",130356105,124518559,28779,35377,5,FALSE,FALSE,215452020,38.93183,"Normal"
"286620",298530,"Warning","Policy_Violation","Anomalous",127391674,128810238,30644,37098,7,TRUE,FALSE,211980412,27.19188,"Normal"
"304439",317051,"Warning","PolicyViolation","Suspicious",131161152,170412219,38531,32701,6,TRUE,FALSE,174683463,36.17997,"Normal"
"533800",556021,"Informational","Policy_Violation","Suspicious",135852527,163102694,35634,27392,5,FALSE,FALSE,178803618,31.05158,"Normal"
"49626",51666,"Warning","ThreatDetected","Suspicious",125997353,167241081,36272,24583,6,FALSE,FALSE,150345543,31.39122,"Normal"
"353664",368469,"Warning","Policy_Violation","Anomalous",134592455,146030381,34109,51859,6,FALSE,FALSE,193672882,24.34239,"Normal"
"465577",484951,"Alert","Policy_Violation","Suspicious",137325914,106240048,29789,23293,7,FALSE,FALSE,142739211,18.55442,"Normal"
"267947",279080,"Warning","PolicyViolation","Anomalous",125352448,113630514,26244,38996,6,FALSE,FALSE,169389002,34.35265,"Normal"
"356207",371112,"Informational","PolicyViolation","Critical",131980013,82255371,19898,20769,5,TRUE,FALSE,141478624,22.89272,"Normal"
"303064",315632,"Warning","PolicyViolation","Anomalous",130658210,115608313,28599,19473,7,TRUE,FALSE,150481110,30.38523,"Normal"
"519909",541578,"Warning","PolicyViolation","Anomalous",122156922,91398396,20875,30467,5,TRUE,FALSE,180150490,27.9501,"Normal"
"322906",336340,"Warning","PolicyViolation","Elevated",130842516,208120866,45082,24029,5,FALSE,FALSE,87067175,25.75883,"Normal"
"111487",116040,"Warning","NormalOperation","Suspicious",158974530,98739653,30214,31912,6,FALSE,FALSE,150327210,28.32344,"Normal"
"234759",244516,"Warning","PolicyViolation","Anomalous",132995019,153081826,33290,34717,5,FALSE,FALSE,119479890,21.16908,"Normal"
"264717",275717,"Alert","Policy_Violation","Anomalous",117137296,103510237,22503,NA,5,TRUE,FALSE,141843639,24.897,"Normal"
"7453",7761,"Warning","Policy_Violation","Suspicious",131547452,138936231,30695,40171,4,TRUE,TRUE,145147248,20.24247,"Normal"
"361331",376460,"Alert","NormalOperation","Anomalous",134519934,143302758,32423,37187,5,FALSE,FALSE,126394373,14.66324,"Normal"
"74096",77118,"Warning","PolicyViolation","Anomalous",133316402,143111423,34196,27842,7,FALSE,FALSE,208849621,29.26398,"Normal"
"500690",521567,"Warning","NormalOperation","Critical",123084897,84490589,19432,28726,5,FALSE,FALSE,163211841,38.44718,"Normal"
"377984",393785,"Warning","PolicyViolation","Anomalous",139881888,141609088,32750,38070,6,TRUE,FALSE,167324181,36.03259,"Normal"
"520709",542407,"Warning","NormalOperation","Suspicious",135198320,176082018,40870,45702,6,FALSE,FALSE,155190825,30.58134,"Normal"
"526319",548241,"Warning","PolicyViolation","Anomalous",129426377,109875628,26335,46630,6,FALSE,FALSE,127814083,30.68089,"Normal"
"484281",504465,"Warning","NormalOperation","Anomalous",142819058,145663729,34078,38045,6,FALSE,FALSE,129968233,22.73425,"Normal"
"456585",475611,"Warning","PolicyViolation","Anomalous",127122568,105999332,24248,43332,5,FALSE,FALSE,158780803,35.66248,"Normal"
"304988",317625,"Warning","Policy_Violation","Anomalous",132055848,104672052,24189,36676,5,TRUE,FALSE,84511270,29.75105,"Normal"
"358809",373820,"Warning","PolicyViolation","Suspicious",135095690,173006818,38201,28985,6,TRUE,FALSE,177617076,22.07981,"Normal"
"492051",512548,"Warning","Policy_Violation","Anomalous",135638283,103986706,25414,25332,6,FALSE,FALSE,121037465,28.75424,"Normal"
"334054",347981,"Warning","PolicyViolation","Suspicious",125629788,186661771,41485,39447,6,TRUE,FALSE,93202978,24.1963,"Normal"
"174991",182259,"Warning","PolicyViolation","Anomalous",136979861,151177209,33790,30488,6,TRUE,FALSE,135246458,37.20639,"Normal"
"211367",220156,"Informational","Policy_Violation","Anomalous",130533450,137021740,31452,33797,6,TRUE,FALSE,215250455,19.03482,"Normal"
"116349",121117,"Warning","NormalOperation","Anomalous",125755598,119276592,25470,30243,4,FALSE,TRUE,131126881,40.93025,"Normal"
"401570",418305,"Warning","Policy_Violation","Suspicious",136134229,200484797,44263,36859,6,FALSE,FALSE,182575578,31.24078,"Normal"
"165513",172361,"Warning","PolicyViolation","Anomalous",137088385,119694279,27874,39125,6,FALSE,FALSE,122936984,24.87308,"Normal"
"315095",328178,"Warning","Policy_Violation","Anomalous",131936950,126571373,27872,27625,5,TRUE,FALSE,170741498,27.51293,"Normal"
"326815",340429,"Warning","PolicyViolation","Suspicious",138880332,164985945,36537,33996,5,TRUE,FALSE,166746308,NA,"Normal"
"285299",297153,"Alert","PolicyViolation","Anomalous",129757852,147559033,34707,37954,7,TRUE,FALSE,170972511,30.09195,"Normal"
"91897",95639,"Warning","ThreatDetected","Anomalous",132612280,137600184,31144,23626,5,TRUE,FALSE,183867943,25.70061,"Normal"
"468430",487912,"Warning","NormalOperation","Suspicious",139337947,163555260,38333,33904,6,TRUE,FALSE,195307587,33.89229,"Normal"
"289098",301089,"Warning","PolicyViolation","Anomalous",125123953,148880856,31415,30824,4,TRUE,TRUE,153014999,32.04205,"Normal"
"406879",423835,"Warning","Policy_Violation","Anomalous",132114714,142942572,32644,41879,6,FALSE,FALSE,158982980,27.44797,"Normal"
"176885",184240,"Warning","PolicyViolation","Anomalous",129551353,114599602,27020,41656,6,FALSE,FALSE,136219248,31.91353,"Normal"
"517601",539178,"Warning","PolicyViolation","Suspicious",131789141,166695380,37099,48498,6,FALSE,FALSE,152625210,31.48118,"Normal"
"25290",26337,"Warning","Policy_Violation","Anomalous",117811869,104866620,22799,45052,5,FALSE,FALSE,131047835,NA,"Normal"
"430196",448147,"Warning","Policy_Violation","Suspicious",138742170,154089649,34685,27026,5,FALSE,FALSE,142659250,NA,"Normal"
"358898",373911,"Warning","PolicyViolation","Anomalous",141003792,152624528,34312,32210,6,TRUE,FALSE,123994274,NA,"Normal"
"426407",444203,"Warning","PolicyViolation","Critical",128554604,89914556,20119,35964,4,FALSE,FALSE,151172915,25.96075,"Normal"
"70958",73865,"Warning","Policy_Violation","Suspicious",132413527,196106786,42573,43726,6,FALSE,FALSE,130827895,40.1564,"Normal"
"11308",11757,"Warning","PolicyViolation","Anomalous",130865312,117932305,26493,36756,5,FALSE,FALSE,179654411,NA,"Normal"
"400416",417101,"Warning","PolicyViolation","Anomalous",136702029,139630575,31454,40619,5,FALSE,FALSE,122517133,29.9644,"Normal"
"428731",446634,"Warning","PolicyViolation","Anomalous",132320539,152068715,34786,32615,6,TRUE,FALSE,193376019,32.97167,"Normal"
"325133",338668,"Warning","PolicyViolation","Suspicious",134105162,181104404,39510,26207,6,FALSE,FALSE,193302150,27.87194,"Normal"
"159675",166268,"Warning","Policy_Violation","Suspicious",125496935,163444076,35870,NA,6,FALSE,FALSE,157955583,29.65453,"Normal"
"172708",179871,"Warning","PolicyViolation","Suspicious",143236055,186271583,42709,32485,7,FALSE,FALSE,140038643,32.92578,"Normal"
"364298",379520,"Warning","Policy_Violation","Suspicious",132341288,169448510,38511,40592,6,TRUE,FALSE,143608846,28.53438,"Normal"
"181155",188689,"Warning","PolicyViolation","Suspicious",135031644,171701307,38476,26444,6,FALSE,FALSE,65925132,27.28394,"Normal"
"412717",429922,"Warning","PolicyViolation","Suspicious",123928105,192962016,41593,27121,6,FALSE,FALSE,100492738,26.01418,"Normal"
"21147",22008,"Warning","NormalOperation","Suspicious",126366623,163165500,35449,32820,5,FALSE,FALSE,153306169,31.01898,"Normal"
"464611",483943,"Warning","PolicyViolation","Suspicious",164482280,106006582,27149,42757,4,FALSE,FALSE,122649041,34.0136,"Normal"
"78719",81926,"Warning","PolicyViolation","Suspicious",125578867,197047299,42282,33145,6,TRUE,FALSE,171857850,25.04232,"Normal"
"241022",251023,"Informational","Policy_Violation","Anomalous",134158135,141666957,30797,35631,4,TRUE,FALSE,203906666,40.09176,"Normal"
"433829",451920,"Warning","Policy_Violation","Suspicious",129860622,147867557,31750,34382,4,TRUE,TRUE,174996165,25.48922,"Normal"
"441075",459466,"Warning","Policy_Violation","Suspicious",138543548,159260270,36201,39577,6,FALSE,FALSE,151613847,28.5939,"Normal"
"454071",473003,"Warning","Policy_Violation","Suspicious",115086243,143461171,30747,NA,5,FALSE,TRUE,127030347,34.51179,"Normal"
"167804",174760,"Alert","PolicyViolation","Suspicious",133118892,160007140,34766,31497,5,FALSE,FALSE,162009996,34.08833,"Normal"
"22348",23270,"Warning","Policy_Violation","Suspicious",143538826,177643728,39245,29064,6,TRUE,FALSE,158306472,31.3559,"Normal"
"184664",192355,"Warning","Policy_Violation","Anomalous",126289964,134706890,29832,38368,5,TRUE,FALSE,91511803,29.00927,"Normal"
"7483",7791,"Alert","Policy_Violation","Critical",126200921,90822146,19488,26581,4,TRUE,TRUE,80864843,NA,"Normal"
"412207",429394,"Warning","PolicyViolation","Suspicious",136733223,200794494,45675,29284,7,FALSE,FALSE,115685274,27.24222,"Normal"
"418133",435603,"Warning","Policy_Violation","Anomalous",121409073,106688232,22848,33864,4,TRUE,TRUE,124913109,29.14654,"Normal"
"354642",369482,"Warning","PolicyViolation","Suspicious",131220627,153250955,33887,42105,5,FALSE,FALSE,144814206,31.67588,"Normal"
"315639",328746,"Warning","Policy_Violation","Suspicious",135759744,178166833,40094,34213,6,FALSE,FALSE,231229885,31.13504,"Normal"
"528254",550269,"Warning","Policy_Violation","Elevated",138841562,195795519,43560,30659,6,FALSE,FALSE,136057338,24.04971,"Normal"
"175348",182632,"Warning","Policy_Violation","Anomalous",132057323,139894143,31633,NA,5,FALSE,FALSE,132236757,36.78679,"Normal"
"386433",402584,"Warning","PolicyViolation","Suspicious",132575992,196771339,42829,26859,6,TRUE,FALSE,142840190,22.42283,"Normal"
"143683",149598,"Warning","PolicyViolation","Anomalous",130390618,102179636,24613,42419,5,FALSE,FALSE,125730482,32.69212,"Normal"
"398368",414985,"Warning","Policy_Violation","Suspicious",130460266,148375247,31651,32649,4,FALSE,TRUE,160544900,35.6572,"Normal"
"253980",264540,"Warning","PolicyViolation","Suspicious",130341300,151318156,32645,44110,5,FALSE,FALSE,112869193,28.96218,"Normal"
"394489",410938,"Warning","PolicyViolation","Suspicious",129051294,173818691,36665,30968,4,FALSE,TRUE,132757324,36.5003,"Normal"
"452084",470938,"Warning","PolicyViolation","Suspicious",129553098,164755234,36290,31836,5,TRUE,FALSE,113501273,31.52559,"Normal"
"268975",280145,"Warning","Policy_Violation","Anomalous",125809625,122776796,27582,25501,5,TRUE,FALSE,172204925,25.60648,"Normal"
"79943",83215,"Warning","PolicyViolation","Suspicious",122201913,98268709,30185,37805,8,TRUE,FALSE,107395739,30.44247,"Normal"
"495220",515861,"Warning","PolicyViolation","Critical",129219575,115031074,26481,37027,6,FALSE,FALSE,194123899,24.18499,"Normal"
"179296",186751,"Alert","NormalOperation","Suspicious",128963444,162828323,36027,46218,5,FALSE,FALSE,176872849,24.25245,"Normal"
"80047",83322,"Warning","Policy_Violation","Suspicious",111271146,115994178,29151,28613,7,FALSE,FALSE,167792322,35.87178,"Normal"
"314220",327265,"Warning","Policy_Violation","Anomalous",129344856,123216527,29660,38077,7,FALSE,FALSE,153773494,30.87558,"Normal"
"538936",561367,"Alert","Policy_Violation","Elevated",134816660,190440028,43803,31644,7,TRUE,FALSE,182369267,NA,"Normal"
"160019",166626,"Warning","NormalOperation","Anomalous",124940366,130753555,29178,50905,5,FALSE,FALSE,181940864,39.00918,"Normal"
"496132",516814,"Warning","PolicyViolation","Elevated",134583717,195759343,43537,35024,6,TRUE,FALSE,127437177,28.68165,"Normal"
"109982",114469,"Warning","Policy_Violation","Anomalous",129611692,120062490,26666,38484,4,TRUE,FALSE,203557835,32.89813,"Normal"
"68323",71119,"Warning","PolicyViolation","Anomalous",136058193,125427160,26493,34118,4,FALSE,FALSE,196814140,27.44243,"Normal"
"354113",368930,"Warning","PolicyViolation","Anomalous",130097573,152683966,33444,38204,5,TRUE,FALSE,167456796,30.41983,"Normal"
"98590",102593,"Warning","PolicyViolation","Elevated",136615210,206359123,45544,39973,6,TRUE,FALSE,167320258,34.83793,"Normal"
"382758",398770,"Warning","Policy_Violation","Suspicious",137762248,183235952,42482,35213,7,FALSE,FALSE,146874073,46.24214,"Normal"
"122192",127191,"Warning","Policy_Violation","Elevated",133199045,191441684,43352,25756,6,TRUE,FALSE,141029391,25.74645,"Normal"
"304978",317615,"Warning","PolicyViolation","Suspicious",135649348,160883998,35921,34338,5,FALSE,FALSE,153033629,38.64364,"Normal"
"440883",459270,"Warning","Policy_Violation","Suspicious",126020781,185101089,40583,47369,6,FALSE,FALSE,110489133,31.24548,"Normal"
"252115",262607,"Warning","Policy_Violation","Suspicious",150887433,98540761,29366,26105,6,TRUE,FALSE,140148955,30.79441,"Normal"
"305538",318210,"Warning","ThreatDetected","Suspicious",128558688,147607612,32507,32238,5,FALSE,FALSE,140305025,27.36146,"Normal"
"399150",415797,"Warning","PolicyViolation","Anomalous",127108306,118991284,25424,32184,4,TRUE,FALSE,203303465,34.9117,"Normal"
"319232",332505,"Warning","PolicyViolation","Anomalous",133979381,128681666,28786,NA,6,TRUE,FALSE,191740280,42.35187,"Normal"
"87122",90689,"Warning","PolicyViolation","Anomalous",122858860,105904977,21826,18034,4,TRUE,TRUE,132108214,32.05408,"Normal"
"483633",503784,"Alert","PolicyViolation","Elevated",131117242,208762327,46982,40643,7,TRUE,FALSE,143787947,16.66088,"Normal"
"194447",202560,"Warning","PolicyViolation","Anomalous",131838579,145173172,34059,50979,7,FALSE,FALSE,116430332,30.398,"Normal"
"482729",502845,"Warning","PolicyViolation","Anomalous",132679912,154138859,34563,38066,6,FALSE,FALSE,115506597,26.32617,"Normal"
"288141",300099,"Warning","PolicyViolation","Anomalous",119240493,147457842,32062,24821,5,TRUE,FALSE,143228080,NA,"Normal"
"237542",247415,"Warning","PolicyViolation","Suspicious",131314671,171237847,37380,33315,5,FALSE,FALSE,157739127,28.91142,"Normal"
"414721",432010,"Warning","PolicyViolation","Suspicious",128160581,186833405,41421,29739,6,FALSE,FALSE,216085619,32.38397,"Normal"
"358373",373361,"Warning","PolicyViolation","Suspicious",130968146,165533808,37651,35826,6,FALSE,FALSE,163134869,26.74467,"Normal"
"523889",545718,"Warning","PolicyViolation","Anomalous",128782289,110635387,25869,34771,6,TRUE,FALSE,206049901,28.66912,"Normal"
"414357",431622,"Alert","Policy_Violation","Suspicious",124077874,174369268,38287,NA,6,FALSE,FALSE,189974558,26.60539,"Normal"
"479388",499363,"Warning","PolicyViolation","Anomalous",129319243,91883821,23208,39835,5,FALSE,FALSE,121278201,31.84354,"Normal"
"79881",83149,"Warning","PolicyViolation","Suspicious",129032890,152567441,34644,44496,6,FALSE,FALSE,119600609,28.73105,"Normal"
"281928",293646,"Warning","Policy_Violation","Suspicious",132408559,136040683,29930,28671,4,FALSE,TRUE,163760454,43.95793,"Normal"
"308391",321186,"Warning","PolicyViolation","Suspicious",133846884,183956993,41677,29883,6,FALSE,FALSE,167663676,26.56434,"Normal"
"16532",17197,"Informational","PolicyViolation","Anomalous",129013718,118077893,26113,40614,5,TRUE,FALSE,141094841,14.82992,"Normal"
"390825",407126,"Warning","PolicyViolation","Anomalous",130764198,144814438,32544,35323,6,FALSE,FALSE,145502768,31.80658,"Normal"
"189007",196874,"Warning","PolicyViolation","Suspicious",119103788,171810335,37015,47823,5,TRUE,FALSE,121491479,17.91619,"Normal"
"306570",319283,"Alert","NormalOperation","Suspicious",122374293,167221019,36968,26082,6,FALSE,FALSE,167602452,19.71239,"Normal"
"282",7114,"Warning","PolicyViolation","Anomalous",114305194,116458063,27767,35013,6,TRUE,FALSE,204786313,26.74004,"Malicious"
"8380",209373,"Warning","Policy_Violation","Anomalous",78021070,123215720,25968,30086,6,FALSE,TRUE,119165426,28.31829,"Malicious"
"10085",252904,"Warning","PolicyViolation","Anomalous",95041383,116412074,24445,35905,5,TRUE,TRUE,121476274,19.33587,"Malicious"
"2174",55134,"Warning","PolicyViolation","Suspicious",132337944,153320780,33442,NA,5,TRUE,FALSE,177670032,27.9253,"Malicious"
"20287",507191,"Warning","Policy_Violation","Suspicious",159091319,90315375,27238,30455,6,TRUE,FALSE,85101976,19.9739,"Malicious"
"14736",366680,"Warning","Policy_Violation","Suspicious",175386921,81220099,24193,39004,4,FALSE,FALSE,117230929,30.16004,"Malicious"
"22093",552529,"Warning","Policy_Violation","Anomalous",147199767,104228212,25170,32461,4,FALSE,FALSE,200555519,29.48339,"Malicious"
"14528",361398,"Warning","PolicyViolation","Suspicious",155907534,109066446,31709,42811,6,TRUE,FALSE,133310023,20.67716,"Malicious"
"22053",551341,"Warning","Policy_Violation","Anomalous",132086709,83943066,24094,35510,6,TRUE,FALSE,117989084,20.66743,"Malicious"
"22140",553813,"Warning","NormalOperation","Anomalous",136944986,96789036,25262,27956,5,TRUE,FALSE,131997577,NA,"Malicious"
"3501",88748,"Warning","NormalOperation","Anomalous",136009367,80499500,21287,20290,5,TRUE,FALSE,137196380,33.06958,"Malicious"
"7122",178805,"Warning","Policy_Violation","Suspicious",137943193,104836783,28946,42314,6,FALSE,FALSE,192272784,35.81259,"Malicious"
"3374",85722,"Warning","PolicyViolation","Anomalous",129304431,113676095,27247,47526,5,FALSE,FALSE,179361892,24.62384,"Malicious"
"397",10194,"Warning","PolicyViolation","Suspicious",167833440,103471136,30877,33969,6,TRUE,FALSE,156755599,43.45998,"Malicious"
